Prod Name,Weight (Oz),Length (cm),Width (Cm),Height (Cm),Capacity,Temperature (F),P_ID
Insight360,23,26,16,15,250GB,0–158,PROD-11290
DataSphere,21,48,12,20,2TB,10–120,PROD-11541
CloudEdge,37,38,31,30,2TB,32–104,PROD-11240
Insight360,29,24,28,20,1TB,14–122,PROD-11576
Insight360,34,60,35,8,250GB,0–158,PROD-11288
Insight360,36,54,26,25,5TB,10–120,PROD-11816
NetConnect,18,47,18,34,500GB,10–120,PROD-11661
CloudEdge,14,27,8,22,2TB,-4–140,PROD-11509
CoreAnalytics,34,56,5,30,2TB,-4–140,PROD-11749
Insight360,29,19,29,20,1TB,0–158,PROD-11560
NetConnect,40,21,32,13,5TB,-4–140,PROD-11441
Insight360,24,36,24,8,2TB,0–158,PROD-11376
CloudEdge,36,50,5,28,500GB,32–104,PROD-12000
NetConnect,23,48,26,28,5TB,-4–140,PROD-11970
DataSphere,36,12,20,16,2TB,-4–140,PROD-11408
NetConnect,9,11,34,38,1TB,14–122,PROD-11376
CoreAnalytics,11,12,9,29,250GB,0–158,PROD-11666
CloudEdge,39,40,12,16,500GB,0–158,PROD-11612
DataSphere,17,57,30,38,500GB,0–158,PROD-11661
CloudEdge,30,57,9,29,2TB,10–120,PROD-11987
CloudEdge,15,34,29,20,500GB,10–120,PROD-11876
Insight360,39,46,28,17,250GB,10–120,PROD-11930
DataSphere,39,40,26,39,500GB,0–158,PROD-11922
DataSphere,17,34,19,26,5TB,10–120,PROD-11476
CoreAnalytics,26,41,34,10,2TB,14–122,PROD-11424
DataSphere,10,25,17,37,1TB,14–122,PROD-11565
Insight360,38,58,29,36,500GB,10–120,PROD-11055
CloudEdge,10,41,16,32,500GB,32–104,PROD-11398
CoreAnalytics,11,27,7,18,2TB,32–104,PROD-11195
CloudEdge,12,19,5,31,5TB,32–104,PROD-11262
CoreAnalytics,23,39,30,22,5TB,10–120,PROD-11430
NetConnect,20,25,9,19,5TB,0–158,PROD-11058
Insight360,10,34,33,6,2TB,14–122,PROD-11090
NetConnect,14,41,11,24,2TB,10–120,PROD-11338
CloudEdge,8,30,20,10,500GB,32–104,PROD-11173
NetConnect,17,24,11,30,2TB,0–158,PROD-11577
CoreAnalytics,21,60,32,5,250GB,14–122,PROD-11900
CoreAnalytics,26,55,24,16,2TB,10–120,PROD-11492
NetConnect,16,24,15,14,2TB,10–120,PROD-11631
CloudEdge,12,34,12,11,250GB,32–104,PROD-11141
NetConnect,31,30,35,18,1TB,10–120,PROD-11252
DataSphere,37,25,7,17,5TB,14–122,PROD-11837
DataSphere,17,58,24,5,250GB,32–104,PROD-11840
NetConnect,16,44,21,19,2TB,14–122,PROD-11308
DataSphere,15,15,14,25,1TB,10–120,PROD-11639
CoreAnalytics,17,33,17,38,5TB,14–122,PROD-11743
NetConnect,37,15,22,40,2TB,10–120,PROD-11896
Insight360,14,13,16,31,500GB,14–122,PROD-11097
Insight360,27,13,23,19,5TB,10–120,PROD-11557
DataSphere,20,32,27,5,5TB,14–122,PROD-11657
Insight360,18,24,9,37,2TB,0–158,PROD-11516
DataSphere,40,45,23,6,2TB,-4–140,PROD-11416
CoreAnalytics,15,27,16,21,1TB,0–158,PROD-11709
Insight360,38,47,16,17,500GB,32–104,PROD-11872
Insight360,38,55,14,34,1TB,10–120,PROD-11344
CoreAnalytics,32,52,25,31,250GB,14–122,PROD-11013
DataSphere,8,27,30,39,5TB,10–120,PROD-11414
Insight360,35,27,30,33,1TB,32–104,PROD-11448
NetConnect,28,15,5,9,2TB,-4–140,PROD-11114
CoreAnalytics,26,17,19,6,250GB,32–104,PROD-11315
CloudEdge,25,48,30,36,1TB,0–158,PROD-11036
Insight360,40,59,5,25,250GB,-4–140,PROD-11549
NetConnect,30,52,32,24,2TB,-4–140,PROD-11986
NetConnect,35,30,17,34,500GB,-4–140,PROD-11403
